gene_id	gene_name	control_rep1	control_rep2	control_rep3	nilotinib_rep1	nilotinib_rep2	nilotinib_rep3
ACKR4	ACKR4	0.329509	0.22382	0.374931	0.179794	0.270996	0.363481
ACLY	ACLY	127.539276	130.832453	151.836738	43.004142	41.862302	49.997716
ACMSD	ACMSD	0	0	0.036324	0	0.039504	0
ACN9	ACN9	24.725127	24.305694	29.680634	13.793771	13.817261	15.796144
ACO1	ACO1	20.651339	22.88777	22.611593	15.366408	17.622069	18.233132
ACO2	ACO2	104.048546	102.711372	113.54417	63.355271	75.629575	90.285314
ACOT1	ACOT1	0.023574	0	0	0.213636	0	0.097408
ACOT11	ACOT11	0.601495	0.66102	1.49163	0.308859	0.560229	0.485526
ACOT12	ACOT12	0.016496	0.020793	0	0	0	0
ACOT13	ACOT13	17.882817	17.610375	18.336552	15.341068	16.179715	16.575018
ACOT2	ACOT2	0.139893	0.281937	0.296285	0.2131	0.330475	0.139927
ACOT4	ACOT4	0.020816	0.029581	0	0	0	0
ACOT6	ACOT6	0	0	0	0	0	0
ACOT7	ACOT7	52.346361	58.662283	60.749006	18.199527	19.014924	24.462086
ACOT8	ACOT8	47.860058	55.481544	50.61685	54.345869	49.241636	41.083903
ACOT9	ACOT9	38.644274	38.879584	43.045123	22.068259	24.149795	26.473835
ACOX1	ACOX1	10.018286	10.396606	12.551744	9.874534	8.60116	9.074921
ACOX2	ACOX2	0.031078	0.01959	0	0.119079	0.139683	0.068318
ACOX3	ACOX3	8.281111	8.95824	8.559869	7.966257	8.091593	7.533569
ACOXL	ACOXL	0.067432	0.136077	0.151348	0.782798	0.834409	0.386401
ACP1	ACP1	122.839553	120.945427	128.403889	112.184886	114.89815	105.949446
ACP2	ACP2	14.226528	14.820984	16.427195	9.398755	11.61093	16.488163
ACP5	ACP5	10.307498	9.495164	4.924148	0.694882	0.345014	0.976741
ACP6	ACP6	2.712657	2.601461	2.6339	1.364023	1.261632	0.847976
ACPL2	ACPL2	0.849883	1.161479	1.134512	1.672325	1.962957	2.113175
ACPP	ACPP	0.508606	0.449901	0.46936	0.031627	0.169086	0.138479
ACPT	ACPT	0.105265	0	0	0	0.029396	0
ACR	ACR	0	0.032412	0	0	0	0.083885
ACRBP	ACRBP	1.895064	4.24541	6.666171	0.94091	0.689316	1.000361
ACRC	ACRC	1.538549	1.349862	1.712194	0.390649	0.608809	0.686179
ACRV1	ACRV1	0.318302	0.532751	0.289138	0.231458	0.157245	0.455133
ACSBG1	ACSBG1	0.910659	1.307842	1.324233	0.57349	0.731258	0.567356
ACSBG2	ACSBG2	0.254491	0.1011	0.272598	0.256377	0.240469	0.252639
